,find_condominio,find_iptu,find_m_quadrado,is_academia,is_apertamento,is_churrasqueira,is_elevador,is_mobiliado,is_piscina,is_portaria,is_salao_festa,is_varanda,n_banheiros,n_garagens,n_quartos,expensive,Bairro
22202,10.0,10.0,61.0,0,1,0,1,0,0,1,0,0,1,1,3,1,Zumbi
35700,660.0,250.0,82.0,1,1,1,1,0,1,1,1,1,1,2,2,1,Rosarinho
45231,1.0,1.0,30.0,1,1,0,1,0,1,1,1,0,1,1,1,0,Boa Vista
39495,700.0,300.0,63.0,1,1,0,1,0,1,1,0,1,2,1,3,1,Boa Viagem
2684,1360.0,336.0,136.0,0,1,0,1,0,0,1,1,1,3,2,3,1,Boa Viagem
61510,0.0,0.0,81.0,0,1,0,1,0,1,1,1,0,3,2,3,1,Boa Viagem
62159,1.0,226.0,145.0,0,1,0,0,0,0,0,0,0,3,1,3,1,Boa Viagem
7090,0.0,0.0,80.0,0,1,1,1,0,1,1,1,0,2,1,3,1,Encruzilhada
3192,660.0,192.0,54.0,1,1,1,1,0,1,1,1,0,1,1,2,1,Pina
7749,450.0,129.0,49.0,0,1,1,0,1,1,0,1,0,1,1,2,0,Boa Viagem
27087,850.0,0.0,98.0,0,1,0,1,0,1,0,1,0,1,1,3,1,Boa Viagem
5706,300.0,100.0,35.0,1,1,1,1,0,1,1,1,0,1,1,1,0,Casa Forte
42151,1.0,1.0,24.0,1,1,1,1,0,1,1,1,0,1,1,1,0,Boa Viagem
56292,295.0,0.0,55.0,0,1,0,0,0,0,0,0,1,1,1,2,0,Campo Grande
14616,0.0,0.0,42.0,1,1,1,1,0,1,1,1,0,2,1,2,0,Casa Amarela
13688,0.0,0.0,72.0,0,1,1,1,0,1,1,1,0,2,1,3,1,Casa Amarela
51876,1.0,1.0,36.0,0,1,1,1,0,1,0,1,0,1,1,1,1,Boa Viagem
56351,689.0,223.0,52.0,1,1,0,1,0,1,1,1,0,1,1,2,1,Boa Viagem
36778,1300.0,0.0,137.0,0,1,0,1,0,1,0,1,0,4,2,4,1,Boa Viagem
22400,0.0,0.0,45.0,1,1,1,1,0,1,1,0,1,1,1,2,0,Imbiribeira
67781,600.0,132.0,100.0,1,1,0,1,0,0,1,1,1,2,1,3,0,Arruda
46611,506.0,237.0,62.0,1,1,1,1,0,1,1,1,1,1,1,2,1,Cordeiro
2273,200.0,60.0,45.0,1,1,1,0,0,1,1,1,1,1,1,2,0,Várzea
37023,580.0,0.0,80.0,0,1,0,0,0,0,0,0,0,2,1,3,1,Recife
47081,0.0,0.0,44.0,1,1,0,1,0,1,1,1,0,1,1,2,0,Imbiribeira
75244,468.0,0.0,58.0,0,1,1,0,0,1,0,0,1,2,1,3,1,Prado
31912,1350.0,268.0,150.0,0,1,0,0,0,0,0,1,1,2,2,3,1,Graças
20897,1.0,1.0,36.0,1,1,1,1,0,1,1,1,0,1,1,1,1,Boa Viagem
48326,1.0,1.0,86.0,0,1,0,1,0,1,0,1,0,2,2,3,1,Boa Viagem
54075,1.0,1.0,66.0,1,1,1,1,0,1,1,1,0,2,1,3,1,Tamarineira
71069,640.0,456.0,64.0,0,1,0,0,0,1,0,0,1,2,1,3,0,Prado
21869,0.0,0.0,64.0,1,1,1,0,0,1,1,1,0,2,2,3,1,Boa Viagem
51291,580.0,150.0,64.0,1,1,1,1,0,1,1,1,1,1,1,3,1,Caxangá
29325,1.0,1.0,91.0,1,1,1,1,0,1,1,1,1,3,2,3,1,Recife
11971,1297.0,366.0,97.0,0,1,0,1,0,1,1,1,0,3,2,3,1,Graças
57694,1.0,1.0,105.0,1,1,1,1,0,1,1,1,0,1,2,3,1,Parnamirim
34996,1.0,1.0,63.0,0,1,0,0,0,1,1,0,1,2,1,3,1,Boa Viagem
3610,1000.0,196.0,65.0,0,1,0,0,0,1,1,1,0,2,1,2,0,Boa Viagem
26846,0.0,0.0,58.0,1,1,1,1,0,1,1,1,0,2,1,2,1,Encruzilhada
19767,0.0,0.0,81.0,1,1,0,1,0,1,1,1,0,3,2,3,1,Boa Viagem
18068,890.0,200.0,58.0,1,1,1,0,0,1,1,1,1,1,1,2,0,Apipucos
46136,0.0,0.0,120.0,0,0,0,0,0,0,0,0,0,2,0,3,0,Iputinga
59931,10.0,10.0,47.0,1,1,1,1,0,1,1,1,0,2,1,2,1,Boa Viagem
538,1.0,1.0,63.0,0,1,0,1,0,1,1,1,0,2,1,3,1,Rosarinho
15221,419.0,146.0,47.0,0,1,0,0,0,0,0,0,0,1,1,2,1,Boa Viagem
6580,1.0,1.0,90.0,1,1,0,1,0,1,0,1,0,3,2,3,1,Boa Viagem
11419,300.0,200.0,36.0,1,1,1,1,0,1,1,1,1,1,1,1,0,Boa Viagem
61151,350.0,175.0,59.0,1,1,0,0,0,1,0,1,0,1,1,2,1,Encruzilhada
29655,707.0,183.0,49.0,0,1,0,0,0,0,1,0,0,1,1,2,1,Boa Viagem
61994,1.0,1.0,83.0,0,1,0,0,0,0,0,0,0,1,1,2,0,Casa Amarela
